X,Y,OBJECTID,ADDRESS_ID,STATUS,FULLADDRESS,XCOORD,YCOORD,WARD_2012,WARD_2022,WARD_CHANGE
-77.021620616,38.906364051,4459,278925,ACTIVE,1205 7TH STREET NW,398124.91,137611.12,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.020371956,38.906609663,4460,296145,ACTIVE,604 EMMANUEL COURT NW,398233.22,137638.36,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0203745159999,38.9062877040001,4461,296147,ACTIVE,608 EMMANUEL COURT NW,398232.99,137602.62,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0216009119999,38.9109663290001,4462,302993,ACTIVE,642 Q STREET NW,398126.74,138122.01,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.021719736,38.9047453220001,4463,300156,ACTIVE,1109 7TH STREET NW,398116.27,137431.43,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.020951188,38.9054393760001,4464,300213,ACTIVE,1111 MCCOLLOUGH COURT NW,398182.95,137508.46,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.022472904,38.908343115,4465,302134,ACTIVE,704 O STREET NW,398051.04,137830.83,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.022296383,38.910912599,4466,279890,RETIRE,702 Q STREET NW,398066.42,138116.06,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.023712932,38.909809248,4467,300567,ACTIVE,1501 9TH STREET NW,397943.53,137993.61,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0206294079999,38.91539041,4468,307351,RETIRE,612 T STREET NW,398211.11,138613.1,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.015903663,38.906558739,4469,289319,ACTIVE,1231 4TH STREET NW,398620.78,137632.63,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0196254319999,38.904917212,4470,307751,ACTIVE,1119 6TH STREET NW,398297.93,137450.47,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.019141877,38.9108237950001,4471,307784,ACTIVE,1544 5TH STREET NW,398340.01,138106.14,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.019099919,38.9112943980001,4472,307808,ACTIVE,503 Q STREET NW,398343.66,138158.38,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.017640839,38.9124057160001,4473,307760,ACTIVE,1646 1/2 NEW JERSEY AVENUE NW,398470.23,138281.72,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.016354193,38.9089273320001,4474,307854,ACTIVE,1408 NEW JERSEY AVENUE NW,398581.75,137895.57,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0164378539999,38.908233948,4475,308776,ACTIVE,,398574.48,137818.6,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.022220648,38.9124496160001,4476,308201,ACTIVE,1630 7TH STREET NW,398073.03,138286.68,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.017692906,38.907093397,4477,309073,ACTIVE,444 N STREET NW,398465.6,137692.01,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.020751635,38.91222702,4478,303459,ACTIVE,1637 MARION STREET NW,398200.43,138261.94,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.016405682,38.90671073,4479,309384,ACTIVE,1226 4TH STREET NW,398577.24,137649.51,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.016754033,38.9054577100001,4480,309415,ACTIVE,410 M STREET NW,398547,137510.42,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.018489667,38.905191341,4481,309381,ACTIVE,1131 REAR 5TH STREET NW,398396.45,137480.88,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0201766609999,38.9147975600001,4482,309362,ACTIVE,1818 6TH STREET NW,398250.36,138547.28,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.022602386,38.909817215,4483,309484,ACTIVE,751 P STREET NW,398039.85,137994.47,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0266392519999,38.911207163,4484,309531,RETIRE,,397689.77,138148.86,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.01963546,38.9116089710001,4485,309630,ACTIVE,1613 6TH STREET NW,398297.22,138193.31,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.023788606,38.9113071400001,4486,309534,ACTIVE,821 Q STREET NW,397937.01,138159.89,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.016500989,38.9090283850001,4487,237420,ACTIVE,1412 NEW JERSEY AVENUE NW,398569.02,137906.79,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.024205563,38.913776781,4488,239697,ACTIVE,1720 9TH STREET NW,397900.92,138434.05,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0177087169999,38.911337587,4489,237250,ACTIVE,421 Q STREET NW,398464.32,138163.15,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.019150763,38.9048430620001,4490,238909,RETIRE,1114 5TH STREET NW,398339.1,137442.23,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0221649279999,38.911612662,4491,243117,ACTIVE,1612 7TH STREET NW,398077.84,138193.77,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0187328389999,38.9044083860001,4492,218250,ACTIVE,1105 5TH STREET NW,398375.34,137393.97,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0232428909999,38.909186235,4493,297619,ACTIVE,1414 8TH STREET NW,397984.28,137924.44,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0164283669999,38.9070916000001,4494,237456,ACTIVE,402 N STREET NW,398575.28,137691.79,Ward 6,Ward 2,FROM Ward 6 TO Ward 2
-77.0144273559999,38.9066245110001,4495,309110,ACTIVE,221 MORGAN STREET NW,398748.83,137639.91,Ward 6,Ward 5,FROM Ward 6 TO Ward 5
-77.01429189,38.906639752,4496,309076,ACTIVE,217 MORGAN STREET NW,398760.58,137641.6,Ward 6,Ward 5,FROM Ward 6 TO Ward 5
-77.014357603,38.9066235290001,4497,309097,ACTIVE,219 MORGAN STREET NW,398754.88,137639.8,Ward 6,Ward 5,FROM Ward 6 TO Ward 5
-77.014071841,38.9062835890001,4498,309102,ACTIVE,210 MORGAN STREET NW,398779.66,137602.06,Ward 6,Ward 5,FROM Ward 6 TO Ward 5
-76.999747814,38.8791434730001,4499,289047,ACTIVE,901 5TH STREET SE,400022.08,134589.2,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.99982584,38.878074177,4500,307684,ACTIVE,1015 5TH STREET SE,400015.31,134470.5,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.999999977,38.8777070850001,4501,307714,ACTIVE,416 L STREET SE,400000.2,134429.75,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.995511478,38.8761226020001,4502,309648,ACTIVE,712 WARRINGTON AVENUE SE,400389.68,134253.87,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.995392086,38.876119444,4503,309649,ACTIVE,714 WARRINGTON AVENUE SE,400400.04,134253.52,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.995309687,38.876116648,4504,309650,ACTIVE,716 WARRINGTON AVENUE SE,400407.19,134253.21,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
-76.9958020029999,38.876178645,4505,309651,ACTIVE,706 WARRINGTON AVENUE SE,400364.47,134260.09,Ward 6,Ward 8,FROM Ward 6 TO Ward 8
